PROCEDIMENTO,RN (ALTERACAO),VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPITULO
ACONSELHAMENTO GENÉTICO,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,HSO,REF,SEM VALOR,SEM VALOR,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
ATENDIMENTO/ACOMPANHAMENTO EM HOSPITAL-DIA PSIQUIÁTRICO (COM DIRETRIZ DE UTILIZAÇÃO),SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,SEM VALOR,109,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
"ATENDIMENTO INTEGRAL AO RECÉM-NASCIDO (SALA DE PARTO, BERÇÁRIO E UTI)",SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,SEM VALOR,REF,SEM VALOR,SEM VALOR,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
ATENDIMENTO MÉDICO DO INTENSIVISTA EM UTI GERAL OU PEDIÁTRICA,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,HCO,HSO,REF,SEM VALOR,SEM VALOR,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
ATENDIMENTO PEDIÁTRICO A GESTANTES (3º TRIMESTRE),SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,SEM VALOR,REF,SEM VALOR,SEM VALOR,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
ATIVIDADE EDUCACIONAL PARA PLANEJAMENTO FAMILIAR,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,SEM VALOR,SEM VALOR,REF,SEM VALOR,SEM VALOR,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
ATIVIDADE EDUCATIVA EM SAÚDE BUCAL,SEM VALOR,SEM VALOR,Seg. Odontológica,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
ATIVIDADE EDUCATIVA EM ODONTOLOGIA PARA PAIS E/OU CUIDADORES DE PACIENTES COM NECESSIDADES ESPECIAIS,SEM VALOR,SEM VALOR,Seg. Odontológica,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONDICIONAMENTO EM ODONTOLOGIA (COM DIRETRIZ DE UTILIZAÇÃO),SEM VALOR,SEM VALOR,Seg. Odontológica,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,86,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
ESTABILIZAÇÃO DE PACIENTE POR MEIO DE CONTENÇÃO FÍSICA E/OU MECÂNICA,SEM VALOR,SEM VALOR,Seg. Odontológica,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,SEM VALOR,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA DE ACONSELHAMENTO PARA PLANEJAMENTO FAMILIAR,SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,SEM VALOR,SEM VALOR,REF,SEM VALOR,SEM VALOR,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
CONSULTA COM ENFERMEIRO OBSTETRA OU OBSTETRIZ (COM DIRETRIZ DE UTILIZAÇÃO),SEM VALOR,SEM VALOR,SEM VALOR,Seg. Ambulatorial,HCO,SEM VALOR,REF,SEM VALOR,135,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS
